,Anime,Members
,63,104728
Studio Flad,1,33393
Nut,1,11142
Bakken Record,1,67028
Painting Dream,1,502
Yostar Pictures,4,100895
Fifth Avenue,1,49996
GoHands,1,54225
Sunrise,19,912614
Frontier Works,1,7230
teamKG,1,87941
CyberConnect2,1,32265
Bandai Namco Pictures,14,171642
Bibury Animation CG,1,38499
Connect,3,114904
Craftar Studios,1,24565
Studio 4°C,6,697130
Bones,22,14184256
EMT Squared,3,332373
Knack Productions,1,1552
Taikong Works,1,1516
Studio Egg,1,3392
Pure Arts,1,1387
Wolf Smoke Studio,1,1171
Marza Animation Planet,1,21299
Zero-G,1,5742
Pierrot Plus,3,640931
Imagineer,2,143446
Studio Chizu,1,409878
Nippon Animation,20,244760
Darts,1,3169
animate Film,3,29499
Bee Train,5,154350
Studio Blanc.,2,67421
asread.,6,1152241
CoMix Wave Films,2,24543
8bit,2,1105130
Studio PuYUKAI,2,15723
Madhouse,27,2876042
Asahi Production,2,69982
Plum,1,11669
AIC ASTA,3,193660
Seven Arcs,3,616681
PRA,1,16206
Haoliners Animation League,2,5847
Gainax,4,151093
Zexcs,3,226025
Tezuka Productions,11,999788
TMS Entertainment,20,1315979
Brain's Base,14,2430676
SILVER LINK.,11,1297170
Shuka,2,724279
Namu Animation,1,106898
Ajia-do,1,31703
CloverWorks,3,616765
OLM Team Kato,1,1268
Rikuentai,2,15781
DMM.futureworks,2,26402
Maho Film,3,566795
Lapin Track,1,8167
Gallop,6,31697
LIDENFILMS,6,693986
Joicy Studio,1,708
Dynamo Pictures,1,6846
I.Gzwei,1,41379
Vega Entertainment,1,42421
TROYCA,2,807111
Wit Studio,3,5998
Creators in Pack,2,128957
DLE,3,2510
Drive,1,17718
C-Station,1,52994
B.CMAY PICTURES,2,89685
P.A. Works,9,1016024
Anima,1,9527
Charaction,2,8046
Group TAC,2,32622
Studio VOLN,1,39257
Polygon Pictures,8,1121132
Orange,2,1231755
Red Dog Culture House,1,10698
Rising Force,2,47613
Light Chaser Animation Studios,2,11734
OLM,9,157512
Production I.G,21,1628602
G-angle,1,834
Xebec,9,136751
Arvo Animation,3,526235
TYO Animations,1,26704
Tatsunoko Production,2,3666
Mushi Production,4,96701
feel.,2,337674
Ordet,1,346257
J.C.Staff,26,1739164
GEMBA,2,360169
Studio Ghibli,1,15120
Studio Himalaya,1,302
Gonzo,13,917045
NAZ,1,59085
Shin-Ei Animation,6,253059
C2C,1,131934
Trans Arts,1,13240
Felix Film,1,307253
Silver,3,526235
MAPPA,2,817573
Tokyo Movie Shinsha,4,817082
Fever Creations,1,13027
Satelight,6,190742
Kinema Citrus,4,708707
SANZIGEN,19,975325
Nekonigashi Inc.,1,915
Studio Deen,8,99570
Jumonji,1,35962
HOTZIPANG,2,27523
DandeLion Animation Studio,1,35962
Nomad,2,197156
Studio Colorido,1,52097
add some,63,104728
None found,63,104728
Production IMS,2,78727
Qianqi Animation,1,985
Annapuru,1,3151
Studio Comet,4,56952
White Fox,5,2803433
Artland,1,226965
Paper Animation,1,1555
Issen,1,88316
Bibury Animation Studios,3,917275
RG Animation Studios,2,1064
Production Reed,1,2189
HORNETS,1,808
Qingxiang Culture,1,1387
Shaft,11,3162988
ufotable,2,6496
Signal.MD,2,50419
AIC PLUS+,4,289453
Dangun Pictures,1,2101
LandQ studios,2,76951
Fanworks,12,613220
Studio Fantasia,6,92068
Hoods Entertainment,3,594534
Kyoto Animation,5,1067979
W-Toon Studio,1,5271
studio MOTHER,2,375947
Lerche,6,3993933
TNK,1,39810
Planet Cartoon,1,13027
Tokyo Kids,1,28758
Seven Arcs Pictures,2,44856
Colored Pencil Animation,1,25505
Studio Core,1,4316
7doc,1,597
Jinnis Animation Studios,1,4500
Pierrot,34,8316038
Okuruto Noboru,1,35962
Hai An Xian Donghua Gongzuo Shi,1,754
HuaDream,1,723
SynergySP,2,2865
Studio Daisy,1,346
Poncotan,1,5763
Studio 3Hz,3,134183
Lingsanwu Animation,1,9873
Studio Live,1,22042
Revoroot,1,148341
Studio Gokumi,1,8582
Panda Factory,1,4352
Hal Film Maker,10,1127283
Yumeta Company,3,176968
D.A.S.T.,2,27878
AQUA ARIS,2,4952
Doga Kobo,3,856983
Actas,1,14368
AIC Build,2,234885
A-1 Pictures,15,8823506
Telecom Animation Film,2,29245
WAO World,3,78317
AIC,20,901245
Seven Stone Entertainment,2,4798
Venet,1,20376
none,22,134636
BeSTACK,1,30178
David Production,2,120450
Magic Bus,5,24363
Toei Animation,43,1544540
Graphinica,1,32395
Diomedéa,8,1029470
Ashi Productions,7,57673
Digital Frontier,2,64473
Success Corp.,1,2101
Millepensee,2,360169
Gathering,2,75347
